#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.12416  0.00130  0.00400  1.29881  0.000000  0.000000  0.000000     1.000
   1.12633  0.00035  0.00205  1.15690  0.000000  0.000000  0.000000     1.000
   1.12810  0.00001  0.00031  0.96195  0.000000  0.000000  0.000000     1.000
   1.12980  0.00034 -0.00135  0.52820  0.000000  0.000000  0.000000     1.000
   1.13188  0.00155 -0.00304  0.06653  0.000000  0.000000  0.000000     1.000
   1.13455  0.00356 -0.00480 -0.19686  0.000000  0.000000  0.000000     1.000
   1.13829  0.00670 -0.00683 -0.39229  0.000000  0.000000  0.000000     1.000
   1.14391  0.01172 -0.00936 -0.54657  0.000000  0.000000  0.000000     1.000
   1.15264  0.01984 -0.01257 -0.67051  0.000000  0.000000  0.000000     1.000
   1.16457  0.03122 -0.01616 -0.75957  0.000000  0.000000  0.000000     1.000
   1.17820  0.04442 -0.01954 -0.81775  0.000000  0.000000  0.000000     1.000
   1.19249  0.05839 -0.02254 -0.85621  0.000000  0.000000  0.000000     1.000
   1.20712  0.07279 -0.02520 -0.88185  0.000000  0.000000  0.000000     1.000
   1.22200  0.08746 -0.02759 -0.90141  0.000000  0.000000  0.000000     1.000
   1.23700  0.10231 -0.02977 -0.91734  0.000000  0.000000  0.000000     1.000
   1.25208  0.11725 -0.03178 -0.93098  0.000000  0.000000  0.000000     1.000
   1.26721  0.13228 -0.03362 -0.94280  0.000000  0.000000  0.000000     1.000
   1.28238  0.14735 -0.03532 -0.95335  0.000000  0.000000  0.000000     1.000
   1.29757  0.16245 -0.03689 -0.96284  0.000000  0.000000  0.000000     1.000
   1.31277  0.17758 -0.03834 -0.97163  0.000000  0.000000  0.000000     1.000
   1.32798  0.19273 -0.03966 -0.97965  0.000000  0.000000  0.000000     1.000
   1.34318  0.20789 -0.04086 -0.98725  0.000000  0.000000  0.000000     1.000
   1.35839  0.22306 -0.04194 -0.99420  0.000000  0.000000  0.000000     1.000
   1.37358  0.23822 -0.04289 -1.00064  0.000000  0.000000  0.000000     1.000
   1.38876  0.25338 -0.04371 -1.00644  0.000000  0.000000  0.000000     1.000
   1.40393  0.26853 -0.04439 -1.01145  0.000000  0.000000  0.000000     1.000
   1.41909  0.28368 -0.04493 -1.01526  0.000000  0.000000  0.000000     1.000
   1.43424  0.29883 -0.04532 -1.01828  0.000000  0.000000  0.000000     1.000
   1.44939  0.31398 -0.04557 -1.02025  0.000000  0.000000  0.000000     1.000
   1.46454  0.32913 -0.04567 -1.02138  0.000000  0.000000  0.000000     1.000
   1.47969  0.34428 -0.04562 -1.02148  0.000000  0.000000  0.000000     1.000
   1.49485  0.35944 -0.04542 -1.02049  0.000000  0.000000  0.000000     1.000
   1.51002  0.37460 -0.04509 -1.01880  0.000000  0.000000  0.000000     1.000
   1.52519  0.38977 -0.04461 -1.01612  0.000000  0.000000  0.000000     1.000
   1.54038  0.40494 -0.04400 -1.01266  0.000000  0.000000  0.000000     1.000
   1.55558  0.42012 -0.04326 -1.00837  0.000000  0.000000  0.000000     1.000
   1.57079  0.43531 -0.04239 -1.00351  0.000000  0.000000  0.000000     1.000
   1.58602  0.45051 -0.04141 -0.99771  0.000000  0.000000  0.000000     1.000
   1.60127  0.46571 -0.04032 -0.99140  0.000000  0.000000  0.000000     1.000
   1.61654  0.48094 -0.03913 -0.98426  0.000000  0.000000  0.000000     1.000
   1.63184  0.49619 -0.03785 -0.97667  0.000000  0.000000  0.000000     1.000
   1.64717  0.51145 -0.03649 -0.96884  0.000000  0.000000  0.000000     1.000
   1.66252  0.52674 -0.03508 -0.96108  0.000000  0.000000  0.000000     1.000
   1.67789  0.54204 -0.03360 -0.95310  0.000000  0.000000  0.000000     1.000
   1.69328  0.55736 -0.03209 -0.94496  0.000000  0.000000  0.000000     1.000
   1.70870  0.57270 -0.03054 -0.93707  0.000000  0.000000  0.000000     1.000
   1.72412  0.58804 -0.02897 -0.92880  0.000000  0.000000  0.000000     1.000
   1.73957  0.60341 -0.02738 -0.92103  0.000000  0.000000  0.000000     1.000
